ORISPL,YEAR,PSTATABB,NAMEPCAP,CAPFAC,SECTOR,PLFUELCT,PLNGENAN,PLHTIAN,PLCO2AN,PLCO2RTA,TREATED,NEIGHBOR,POST
972,2018,IL,33.4,0.0136,Electric Utility,GAS,3965.0,66344.0,3905.0,1969.748,0,0,0
55392,2018,IL,994.5,0.06,IPP Non-CHP,GAS,522428.0,5937971.0,353336.0,1352.668,0,0,0
7336,2018,IN,168.7,0.0048,Electric Utility,GAS,7094.0,144462.0,8596.0,2423.485,0,0,0
55502,2018,IN,1232.0,0.6606,IPP Non-CHP,GAS,7129285.0,52486397.0,3119198.0,875.038,0,0,0
7335,2018,IN,82.8,0.0204,Electric Utility,GAS,14825.0,188785.0,11220.0,1513.673,0,0,0
6166,2018,IN,2600.0,0.5222,Electric Utility,COAL,11894109.0,118827178.0,12462084.0,2095.505,0,0,0
57794,2018,IN,2142.0,0.2177,IPP Non-CHP,GAS,4084428.0,26386471.0,1568116.0,767.851,0,0,0
50366,2018,IN,39.6,0.2302,Commercial CHP,GAS,79840.0,452240.0,28588.0,716.135,0,0,0
1040,2018,IN,93.9,0.05,Electric Utility,COAL,41092.0,561358.0,57595.0,2803.212,0,0,0
1353,2018,KY,1096.8,0.065,Electric Utility,GAS,624804.0,6407128.0,380765.0,1218.829,0,1,0
6018,2018,KY,772.0,0.413,Electric Utility,COAL,2792745.0,31462686.0,3228075.0,2311.758,0,1,0
6041,2018,KY,1608.5,0.5516,Electric Utility,COAL,7772126.0,71488727.0,7334746.0,1887.449,0,1,0
1384,2018,KY,344.0,0.1865,Electric Utility,COAL,562090.0,6142244.0,630193.0,2242.32,0,1,0
55198,2018,KY,1150.0,0.069,IPP Non-CHP,GAS,694617.0,7660359.0,455245.0,1310.779,0,1,0
54,2018,KY,1663.4,0.0271,Electric Utility,GAS,394471.0,4856154.0,289545.0,1468.019,0,1,0
55297,2018,MI,1176.0,0.6587,IPP Non-CHP,GAS,6785423.0,47796970.0,2840503.0,837.237,0,0,0
10384,2018,NC,114.8,0.009,IPP CHP,COAL,9082.0,69373.0,7118.0,1567.439,0,1,0
50555,2018,NC,180.0,0.0179,Electric Utility,OIL,28278.0,282246.0,22890.0,1618.933,0,1,0
55262,2018,OH,49.5,0.0083,Electric Utility,GAS,3592.0,41783.0,2465.0,1372.55,0,0,0
55263,2018,OH,49.5,0.0057,Electric Utility,GAS,2483.0,22831.0,1347.0,1085.058,0,0,0
55264,2018,OH,49.5,0.0078,Electric Utility,GAS,3389.0,40581.0,2396.0,1413.809,0,0,0
55990,2018,OH,26.1,0.7988,IPP CHP,GAS,182635.0,952499.0,55668.0,609.613,0,0,0
2836,2018,OH,873.1,0.1397,IPP Non-CHP,COAL,1068630.0,10233142.0,1049892.0,1964.93,0,0,0
2878,2018,OH,665.3,0.1867,IPP Non-CHP,OIL,1088076.0,15782961.0,1664313.0,3059.185,0,0,0
2903,2018,OH,39.3,0.0071,Electric Utility,GAS,2437.0,42438.0,2483.0,2037.777,0,0,0
2828,2018,OH,1880.4,0.6094,IPP Non-CHP,COAL,10038335.0,100939028.0,10355328.0,2063.157,0,0,0
59773,2018,OH,832.3,0.6466,IPP Non-CHP,GAS,4713968.0,34362868.0,2042135.0,866.419,0,0,0
57908,2018,OH,47.2,0.4743,Commercial CHP,GAS,196116.0,1091245.0,63840.0,651.037,0,0,0
60376,2018,OH,962.0,0.2332,IPP Non-CHP,GAS,1965570.0,12437472.0,739144.0,752.091,0,0,0
2840,2018,OH,2174.8,0.2161,IPP Non-CHP,COAL,4117512.0,45665178.0,4685246.0,2275.766,0,0,0
55247,2018,OH,564.0,0.022,IPP Non-CHP,GAS,108651.0,3087951.0,183416.0,3376.24,0,0,0
2914,2018,OH,53.6,0.1245,Electric Utility,COAL,58434.0,985221.0,100768.0,3448.943,0,0,0
55350,2018,OH,678.3,0.7121,Electric Utility,GAS,4230993.0,27233833.0,1618468.0,765.053,0,0,0
2831,2018,OH,159.1,0.0025,IPP Non-CHP,GAS,3456.0,104425.0,6103.0,3531.868,0,0,0
55736,2018,OH,1429.8,0.7414,IPP Non-CHP,GAS,9286025.0,66761598.0,3967549.0,854.52,0,0,0
55397,2018,OH,714.9,0.7425,IPP Non-CHP,GAS,4649717.0,33269127.0,1977131.0,850.431,0,0,0
2837,2018,OH,1289.0,0.0,IPP Non-CHP,OIL,154.0,4800.0,392.0,5090.675,0,0,0
2847,2018,OH,304.6,0.0614,Electric Utility,GAS,163803.0,2049924.0,120946.0,1476.728,0,0,0
55701,2018,OH,739.5,0.3435,Electric Utility,GAS,2225286.0,27914471.0,1658919.0,1490.971,0,0,0
8102,2018,OH,2600.0,0.7028,IPP Non-CHP,COAL,16006202.0,154184827.0,15818321.0,1976.524,0,0,0
